country,gdp_per_capita,urbanization_rate,industry_share,agriculture_share,secondary_gross_enrollment_rate,tertiary_gross_enrollment_rate,population_growth,youth_dependency_ratio,internet_penetration,electricity_access,inflation_rate,trade_percent_gdp,fdi_inflow,credit_to_private_sector,remittances_percent_gdp,govt_consumption_percent_gdp,gross_savings_percent_gdp,services_share,adult_literacy_rate,life_expectancy_at_birth,fertility_rate,primary_gross_enrollment_rate,age_dependency_ratio,old_age_dependency_ratio,fixed_broadband_subscriptions_per_100,mobile_cellular_subscriptions_per_100,real_interest_rate,export_volume_index,external_debt_percent_gni,govt_expenditure_on_education_percent_gdp,tax_revenue_percent_gdp,fiscal_balance_percent_gdp,broad_money_percent_gdp,gross_capital_formation_percent_gdp,electricity_consumption_kwh_per_capita,renewable_energy_consumption_percent,fossil_fuel_energy_consumption_percent,international_tourism_receipts_usd,international_tourism_receipts_percent,trade_in_services_percent_gdp,year
Bangladesh,1804.3493461776,39.711,33.9200804971876,11.2176010351595,71.8219832597133,22.8396492004395,1.02423384746683,44.1972491390154,41.6,99.4,7.69695437176898,33.7799672705735,0.347960024671858,38.9555684288032,4.67376498937248,5.69899955596024,33.9494644149112,51.0380826788136,60.51090672810872,74.265,2.179,117.659457498739,53.6222137721463,9.42496463313091,7.1702,105.2642491,1.9724805729144,40.46847888864048,20.281806187216,1.71183669567108,7.596869860825879,-1.3950463597819212,54.117700850947,32.047275580905,602.674747324137,48.66875,83.13,163843750.0,0.6182038787193795,4.28940703111851,2022
Bangladesh,1702.08028414189,38.946,33.3160943869001,11.6328584271282,70.2933328560227,23.40016746521,0.814977993693211,44.763273732564,38.9,99.0,5.54565430773473,27.7240047036631,0.414118154040596,39.0820163295701,5.33437804101106,5.88274868783073,36.051174233546,51.3015069352743,76.0,71.103,2.173,115.448180712787,53.9605921368888,9.19731840432484,6.64247,108.9094426,3.07621573507077,128.0890522649,20.8766117836117,1.83117997646332,7.64236301017901,-2.82210670527631,56.6372785923275,31.0187387357172,574.118203146015,25.0,82.5,163843750.0,0.6182038787193795,4.4059072846168,2021
Bangladesh,1604.6659234742,38.177,32.9115650824449,11.9996868602485,69.0135708627668,22.538854598999,0.836310836229073,45.0779125887151,36.1,96.2,5.69107474746211,26.271447376215,0.407859894856918,39.161059242521,5.81626795895571,5.97120729189186,37.1888662137067,51.5113093348259,75.0,71.421,2.175,118.429237365723,54.0679893713504,8.99007678263529,6.04506,105.2911628,4.2891862514626,98.3093268552,18.8853836099419,1.76528060436249,7.00153674405437,-3.94714517667321,57.7630649896826,31.3079413414304,509.945926958218,27.2,81.15,217899993.896484,0.566327447584205,3.7292010736253,2020
Bangladesh,1564.20802445636,37.405,32.8525491977868,11.9753231358984,67.2209189141778,22.8052139282227,0.84641125179804,45.4449279247387,30.4,92.2,5.59199639930629,31.5780544912404,0.543244141585066,39.0344709350066,5.22841813674278,6.2381894055709,36.3536024154867,50.8492887427224,75.0,72.625,2.18,81.39587211830789,54.1751879343991,8.73026000966038,4.90289,100.0336994,5.68956371493223,121.2582164624,17.0856511809436,1.68138802051544,7.63863895493657,-3.92879733231891,54.8702535060565,32.2137331126266,515.10173042395,26.1,80.91,391000000.0,0.869641802916597,4.49034960010732,2019
Bangladesh,1462.25050255713,36.632,31.9828135899766,12.4800771856196,67.4213697322793,19.70263671875,0.820955197842845,45.9039652143335,25.6,86.9,5.54362139486476,32.5146317240884,0.753549134128693,40.0247365906979,4.84382269321267,5.95916693091491,35.4590395013776,50.890160724185,74.0,72.122,2.193,112.427695363555,54.3273751721014,8.42340995776793,4.92462,98.83168698,3.63430365848223,121.5330430683,17.0924802738604,1.65589129924774,7.73177216647423,-3.5361798688043,54.8325562875275,31.8225747704431,471.126089137386,27.0,79.7,357000000.0,0.809009437610101,4.68794343201883,2018
Bangladesh,1373.75363740186,35.858,31.2482919641603,12.9572760433733,64.8559520731683,18.5305080413818,0.850917315689336,46.5111017109243,21.5,88.0,5.70207015717239,29.9997306724343,0.616341784631384,40.4489561448676,4.59667741438378,6.02233215987973,35.2852031466044,51.383900544644,73.0,71.606,2.205,109.125360305532,54.6436395397794,8.13253782885509,4.50131,93.29458051,4.27653989369391,111.5025333655,16.8057450414319,1.85040032863617,6.99714263243688,-2.93968284398895,55.8375416123996,30.9468731155675,443.212945924414,28.1,79.41,348000000.0,0.888425160359535,4.21063932796316,2017
Bangladesh,1299.83091360792,35.083,31.0691513830358,13.4647923176039,66.9232483057473,17.4021797180176,0.892432416039535,47.4910453309036,18.1,75.9,5.51352572692995,31.3341501346142,0.879528340272002,37.7986426672318,5.1180358843144,5.86529831496558,37.280299201621,51.2078039865767,73.0,71.075,2.227,81.39587211830789,55.3718768318608,7.88083150095721,4.09944,85.10324101,-13.6421356407858,107.8139399676,14.9717904789002,2.22119998931885,7.31691184755758,-1.22173341431013,54.9691444990129,30.2397639179985,412.780315331328,30.2,78.77,214300003.051758,0.568998349622867,4.27660866206061,2016
Bangladesh,1224.38647668165,34.308,26.8313948329541,14.7829964369364,62.0312309265137,15.5907163619995,0.89381937776758,48.7871588228788,12.9,74.0,6.19428022984984,42.0859963070382,1.45078245529361,44.4069718062837,7.83797175617291,5.40424038147983,36.7309559824005,53.7138319423318,65.0,70.543,2.227,81.39587211830789,56.4576539922494,7.67049516937057,3.06992,83.23875309,5.51264431590569,100.0,18.6247057162,1.87225413322449,8.49834882820801,-1.33807311151329,64.5065520747659,28.886689247008,348.932681283763,33.1,76.86,150300003.051758,0.429806120691127,5.61254778537554,2015
Bangladesh,1159.40753475981,33.535,26.3110467833576,15.3516208986344,42.12493005914171,13.6534414291382,0.911167733810249,50.1383177320147,11.9,62.4,6.99163889220849,44.5140801968096,1.46870305074204,43.7361238704853,8.66899486049041,5.33752075651661,37.7792321968568,53.6357543166708,61.0,70.016,2.228,81.39587211830789,57.6363999788042,7.49808224678947,1.95814,81.34459807,6.88586627746747,92.1948832327,19.1269964203113,2.09871673583984,8.6353777373447,-0.769287559545676,63.3375540979273,28.5778757115563,326.502853047843,35.4,75.34,154000000.0,0.465858683713146,6.30642694754919,2014
Bangladesh,1103.15695907123,32.762,26.3070701636507,15.4932779975908,57.9590161381221,13.6510944366455,0.938408350120779,51.5075134925378,6.63,61.5,7.53040640913172,46.2964027228174,1.73532012481503,41.7947548053392,9.24470026765418,5.11613164192944,39.745387710533,53.3901814188466,61.0,69.487,2.247,81.39587211830789,58.8576060722821,7.35009257974433,0.974448,75.66900657,5.98869390231371,87.423106264,20.0259278722599,1.96616005897522,8.96241331541821,0.0690736503730761,61.399914294208,28.3896207536466,296.341695089956,37.0,74.91,131000000.0,0.414095692456031,6.37660053473414,2013
